Date,AveragePrice
2015-01-04,1.3012962962962962
2015-01-11,1.370648148148148
2015-01-18,1.3911111111111112
2015-01-25,1.3971296296296298
2015-02-01,1.2470370370370372
2015-02-08,1.310462962962963
2015-02-15,1.3875925925925927
2015-02-22,1.362685185185185
2015-03-01,1.3110185185185186
2015-03-08,1.3600925925925926
2015-03-15,1.3919444444444447
2015-03-22,1.3492592592592592
2015-03-29,1.3975925925925925
2015-04-05,1.412962962962963
2015-04-12,1.3639814814814815
2015-04-19,1.3716666666666666
2015-04-26,1.385185185185185
2015-05-03,1.2838888888888889
2015-05-10,1.3235185185185185
2015-05-17,1.353148148148148
2015-05-24,1.380462962962963
2015-05-31,1.3824074074074075
2015-06-07,1.380925925925926
2015-06-14,1.400462962962963
2015-06-21,1.408425925925926
2015-06-28,1.4064814814814814
2015-07-05,1.4137962962962962
2015-07-12,1.415648148148148
2015-07-19,1.3875
2015-07-26,1.4208333333333332
2015-08-02,1.477314814814815
2015-08-09,1.4312962962962965
2015-08-16,1.449814814814815
2015-08-23,1.444537037037037
2015-08-30,1.4194444444444445
2015-09-06,1.4343518518518519
2015-09-13,1.4632407407407408
2015-09-20,1.4480555555555554
2015-09-27,1.4509259259259257
2015-10-04,1.4191666666666667
2015-10-11,1.3733333333333333
2015-10-18,1.3923148148148148
2015-10-25,1.3830555555555557
2015-11-01,1.3049074074074074
2015-11-08,1.334351851851852
2015-11-15,1.34
2015-11-22,1.330925925925926
2015-11-29,1.3428703703703704
2015-12-06,1.2891588785046728
2015-12-13,1.2878703703703704
2015-12-20,1.3453703703703705
2015-12-27,1.2984259259259259
2016-01-03,1.2063888888888887
2016-01-10,1.2276851851851853
2016-01-17,1.2716666666666667
2016-01-24,1.2422222222222221
2016-01-31,1.2529629629629628
2016-02-07,1.173888888888889
2016-02-14,1.2323148148148149
2016-02-21,1.2766666666666666
2016-02-28,1.2655555555555555
2016-03-06,1.2569444444444444
2016-03-13,1.1970370370370371
2016-03-20,1.197685185185185
2016-03-27,1.2451851851851852
2016-04-03,1.2353703703703702
2016-04-10,1.1737962962962962
2016-04-17,1.2212962962962963
2016-04-24,1.1896296296296296
2016-05-01,1.1637037037037037
2016-05-08,1.1485185185185185
2016-05-15,1.2158333333333333
2016-05-22,1.2246296296296295
2016-05-29,1.2459259259259259
2016-06-05,1.2426851851851852
2016-06-12,1.3009259259259258
2016-06-19,1.2777777777777777
2016-06-26,1.3108333333333333
2016-07-03,1.2947222222222223
2016-07-10,1.3532407407407407
2016-07-17,1.4280555555555554
2016-07-24,1.4823148148148149
2016-07-31,1.4483333333333333
2016-08-07,1.4160185185185186
2016-08-14,1.4188888888888889
2016-08-21,1.4156481481481482
2016-08-28,1.3938888888888887
2016-09-04,1.3720370370370372
2016-09-11,1.3568518518518518
2016-09-18,1.4481481481481482
2016-09-25,1.5344444444444445
2016-10-02,1.5752777777777778
2016-10-09,1.482962962962963
2016-10-16,1.4844444444444445
2016-10-23,1.5407407407407407
2016-10-30,1.702037037037037
2016-11-06,1.6194444444444445
2016-11-13,1.5844444444444445
2016-11-20,1.4997222222222222
2016-11-27,1.4964814814814815
2016-12-04,1.3691666666666666
2016-12-11,1.307777777777778
2016-12-18,1.2771296296296297
2016-12-25,1.3099074074074073
2017-01-01,1.2766666666666666
2017-01-08,1.2944444444444445
2017-01-15,1.3186111111111112
2017-01-22,1.2232407407407406
2017-01-29,1.274537037037037
2017-02-05,1.1447222222222222
2017-02-12,1.2039814814814815
2017-02-19,1.2693518518518518
2017-02-26,1.241111111111111
2017-03-05,1.2874074074074073
2017-03-12,1.4361111111111111
2017-03-19,1.4681481481481482
2017-03-26,1.4040740740740743
2017-04-02,1.4480555555555554
2017-04-09,1.4659259259259259
2017-04-16,1.5048148148148148
2017-04-23,1.5437037037037038
2017-04-30,1.5505555555555557
2017-05-07,1.461666666666667
2017-05-14,1.5283333333333333
2017-05-21,1.5608333333333333
2017-05-28,1.579537037037037
2017-06-04,1.5646296296296296
2017-06-11,1.5215740740740742
2017-06-18,1.5385046728971963
2017-06-25,1.5569158878504674
2017-07-02,1.569537037037037
2017-07-09,1.5402777777777776
2017-07-16,1.5810185185185186
2017-07-23,1.5634259259259258
2017-07-30,1.5703703703703704
2017-08-06,1.6062037037037038
2017-08-13,1.641574074074074
2017-08-20,1.7368518518518519
2017-08-27,1.8112037037037036
2017-09-03,1.855185185185185
